model,provider,proportion,order,trial_index,coordination_tokens,reasoning_tokens,total_context_tokens,mean_score_raw,mean_score_effective,input_tokens_used,output_tokens_used,cost_usd,elapsed_ms,sum_correct,above_count,below_count,equal_count,above_indices,equal_indices,mean_correct,max_above_correct,below_has_zero,no_negatives
claude-haiku-4-5-20251001,anthropic,0.0,coord_first,2,0,3616,4096,1.0,1.0,4517,982,0.007541600000000001,5204.552542003512,1,1,1,1,1,1,1,1,1,1
claude-haiku-4-5-20251001,anthropic,0.5,reason_first,2,1808,1808,4096,1.0,1.0,4581,991,0.0076288,5521.18270900246,1,1,1,1,1,1,1,1,1,1
claude-haiku-4-5-20251001,anthropic,0.9,reason_first,0,3254,362,4096,1.0,1.0,4640,1024,0.007808,5942.842625001504,1,1,1,1,1,1,1,1,1,1
claude-haiku-4-5-20251001,anthropic,0.25,reason_first,1,904,2712,4096,1.0,1.0,4555,925,0.007344,5203.774125002383,1,1,1,1,1,1,1,1,1,1
claude-haiku-4-5-20251001,anthropic,0.75,coord_first,1,2712,904,4096,1.0,1.0,4620,982,0.007624,5476.359541004058,1,1,1,1,1,1,1,1,1,1
claude-haiku-4-5-20251001,anthropic,0.75,reason_first,1,2712,904,4096,1.0,1.0,4620,924,0.007392,5346.448916003283,1,1,1,1,1,1,1,1,1,1
claude-haiku-4-5-20251001,anthropic,0.0,coord_first,3,0,3616,4096,1.0,1.0,4517,906,0.0072376,4765.514292004809,1,1,1,1,1,1,1,1,1,1
claude-haiku-4-5-20251001,anthropic,0.5,reason_first,3,1808,1808,4096,0.9,0.9,4581,924,0.0073608,5607.833333000599,1,1,1,1,1,1,1,1,1,0
claude-haiku-4-5-20251001,anthropic,0.5,coord_first,0,1808,1808,4096,1.0,1.0,4581,901,0.007268800000000001,5002.197375004471,1,1,1,1,1,1,1,1,1,1
claude-haiku-4-5-20251001,anthropic,0.9,reason_first,1,3254,362,4096,1.0,1.0,4640,1010,0.007752,5916.548125002009,1,1,1,1,1,1,1,1,1,1
claude-haiku-4-5-20251001,anthropic,0.75,reason_first,2,2712,904,4096,1.0,1.0,4620,961,0.00754,5363.13204200269,1,1,1,1,1,1,1,1,1,1
claude-haiku-4-5-20251001,anthropic,0.25,reason_first,2,904,2712,4096,1.0,1.0,4555,898,0.007236,4888.028958004725,1,1,1,1,1,1,1,1,1,1
claude-haiku-4-5-20251001,anthropic,0.25,coord_first,2,904,2712,4096,1.0,1.0,4555,899,0.00724,4893.864584002586,1,1,1,1,1,1,1,1,1,1
claude-haiku-4-5-20251001,anthropic,0.75,coord_first,2,2712,904,4096,1.0,1.0,4620,812,0.006944,4588.985124995816,1,1,1,1,1,1,1,1,1,1
claude-haiku-4-5-20251001,anthropic,0.5,reason_first,4,1808,1808,4096,1.0,1.0,4581,931,0.0073888,5140.441707997525,1,1,1,1,1,1,1,1,1,1
claude-haiku-4-5-20251001,anthropic,0.5,coord_first,1,1808,1808,4096,1.0,1.0,4581,916,0.0073288,5060.373584004992,1,1,1,1,1,1,1,1,1,1
claude-haiku-4-5-20251001,anthropic,0.25,coord_first,3,904,2712,4096,1.0,1.0,4555,891,0.007208,4913.251875004789,1,1,1,1,1,1,1,1,1,1
claude-haiku-4-5-20251001,anthropic,0.25,coord_first,4,904,2712,4096,1.0,1.0,4555,909,0.00728,5352.818457999092,1,1,1,1,1,1,1,1,1,1
claude-haiku-4-5-20251001,anthropic,0.5,coord_first,2,1808,1808,4096,1.0,1.0,4581,1024,0.0077608,5415.829208999639,1,1,1,1,1,1,1,1,1,1
claude-haiku-4-5-20251001,anthropic,0.25,reason_first,3,904,2712,4096,1.0,1.0,4555,1024,0.00774,5641.270708001684,1,1,1,1,1,1,1,1,1,1
claude-haiku-4-5-20251001,anthropic,0.9,reason_first,2,3254,362,4096,1.0,1.0,4640,940,0.007472,5283.122959001048,1,1,1,1,1,1,1,1,1,1
claude-haiku-4-5-20251001,anthropic,0.25,coord_first,5,904,2712,4096,1.0,1.0,4555,1000,0.007644,5681.75720799627,1,1,1,1,1,1,1,1,1,1
claude-haiku-4-5-20251001,anthropic,0.0,coord_first,4,0,3616,4096,0.9,0.9,4517,1024,0.0077096000000000005,5006.774125002266,1,1,1,1,1,1,1,1,1,0
claude-haiku-4-5-20251001,anthropic,0.9,reason_first,3,3254,362,4096,1.0,1.0,4640,925,0.007412,5123.220667002897,1,1,1,1,1,1,1,1,1,1
claude-haiku-4-5-20251001,anthropic,0.9,reason_first,4,3254,362,4096,1.0,1.0,4640,916,0.007376,4950.880541000515,1,1,1,1,1,1,1,1,1,1
claude-haiku-4-5-20251001,anthropic,0.0,coord_first,5,0,3616,4096,1.0,1.0,4517,868,0.0070856,6236.105624993797,1,1,1,1,1,1,1,1,1,1
claude-haiku-4-5-20251001,anthropic,0.9,coord_first,2,3254,362,4096,1.0,1.0,4640,895,0.007292,4772.909332998097,1,1,1,1,1,1,1,1,1,1
claude-haiku-4-5-20251001,anthropic,0.5,coord_first,3,1808,1808,4096,1.0,1.0,4581,939,0.0074208,5419.692957999359,1,1,1,1,1,1,1,1,1,1
claude-haiku-4-5-20251001,anthropic,0.0,reason_first,1,0,3616,4096,1.0,1.0,4517,877,0.0071216000000000005,4889.660083004856,1,1,1,1,1,1,1,1,1,1
claude-haiku-4-5-20251001,anthropic,0.75,reason_first,3,2712,904,4096,1.0,1.0,4620,1024,0.007792,5949.724625003,1,1,1,1,1,1,1,1,1,1
claude-haiku-4-5-20251001,anthropic,0.9,reason_first,5,3254,362,4096,1.0,1.0,4640,1024,0.007808,5767.6714999979595,1,1,1,1,1,1,1,1,1,1
claude-haiku-4-5-20251001,anthropic,0.9,coord_first,3,3254,362,4096,1.0,1.0,4640,1024,0.007808,6337.840833002701,1,1,1,1,1,1,1,1,1,1
claude-haiku-4-5-20251001,anthropic,0.25,coord_first,6,904,2712,4096,1.0,1.0,4555,917,0.007312,5300.512458001322,1,1,1,1,1,1,1,1,1,1
claude-haiku-4-5-20251001,anthropic,0.9,coord_first,4,3254,362,4096,1.0,1.0,4640,1024,0.007808,5387.991584000702,1,1,1,1,1,1,1,1,1,1
claude-haiku-4-5-20251001,anthropic,0.0,coord_first,6,0,3616,4096,1.0,1.0,4517,891,0.0071776,4878.7743330030935,1,1,1,1,1,1,1,1,1,1
claude-haiku-4-5-20251001,anthropic,0.75,coord_first,3,2712,904,4096,1.0,1.0,4620,925,0.007396,5005.597791001492,1,1,1,1,1,1,1,1,1,1
claude-haiku-4-5-20251001,anthropic,0.75,reason_first,4,2712,904,4096,1.0,1.0,4620,1024,0.007792,5002.745833997324,1,1,1,1,1,1,1,1,1,1
claude-haiku-4-5-20251001,anthropic,0.75,coord_first,4,2712,904,4096,1.0,1.0,4620,929,0.007412,5013.171833001252,1,1,1,1,1,1,1,1,1,1
claude-haiku-4-5-20251001,anthropic,0.75,coord_first,5,2712,904,4096,1.0,1.0,4620,1009,0.007732,5773.410082998453,1,1,1,1,1,1,1,1,1,1
claude-haiku-4-5-20251001,anthropic,0.75,reason_first,5,2712,904,4096,1.0,1.0,4620,899,0.007292,4940.090292002424,1,1,1,1,1,1,1,1,1,1
claude-haiku-4-5-20251001,anthropic,0.75,reason_first,6,2712,904,4096,1.0,1.0,4620,947,0.007484,5451.220709001063,1,1,1,1,1,1,1,1,1,1
claude-haiku-4-5-20251001,anthropic,0.25,coord_first,7,904,2712,4096,1.0,1.0,4555,810,0.006884,4535.3542499942705,1,1,1,1,1,1,1,1,1,1
claude-haiku-4-5-20251001,anthropic,0.9,reason_first,6,3254,362,4096,1.0,1.0,4640,1024,0.007808,5812.028749998717,1,1,1,1,1,1,1,1,1,1
claude-haiku-4-5-20251001,anthropic,0.5,coord_first,4,1808,1808,4096,1.0,1.0,4581,873,0.0071568000000000005,4744.226667004114,1,1,1,1,1,1,1,1,1,1
claude-haiku-4-5-20251001,anthropic,0.9,coord_first,5,3254,362,4096,1.0,1.0,4640,890,0.007272,5244.189582997933,1,1,1,1,1,1,1,1,1,1
claude-haiku-4-5-20251001,anthropic,0.75,coord_first,6,2712,904,4096,1.0,1.0,4620,1006,0.00772,5795.822792002582,1,1,1,1,1,1,1,1,1,1
claude-haiku-4-5-20251001,anthropic,0.5,reason_first,5,1808,1808,4096,1.0,1.0,4581,997,0.0076528,5765.578459002427,1,1,1,1,1,1,1,1,1,1
claude-haiku-4-5-20251001,anthropic,0.25,reason_first,4,904,2712,4096,1.0,1.0,4555,1024,0.00774,6041.230833994632,1,1,1,1,1,1,1,1,1,1
claude-haiku-4-5-20251001,anthropic,0.25,reason_first,5,904,2712,4096,1.0,1.0,4555,1024,0.00774,5695.2437500003725,1,1,1,1,1,1,1,1,1,1
claude-haiku-4-5-20251001,anthropic,0.25,reason_first,6,904,2712,4096,1.0,1.0,4555,921,0.007328,4934.973374998663,1,1,1,1,1,1,1,1,1,1
claude-haiku-4-5-20251001,anthropic,0.5,coord_first,5,1808,1808,4096,1.0,1.0,4581,923,0.0073568,4927.854707995721,1,1,1,1,1,1,1,1,1,1
claude-haiku-4-5-20251001,anthropic,0.0,coord_first,7,0,3616,4096,1.0,1.0,4517,887,0.007161600000000001,4433.445750000828,1,1,1,1,1,1,1,1,1,1
claude-haiku-4-5-20251001,anthropic,0.9,coord_first,6,3254,362,4096,1.0,1.0,4640,878,0.007224,4745.726625005773,1,1,1,1,1,1,1,1,1,1
claude-haiku-4-5-20251001,anthropic,0.9,coord_first,7,3254,362,4096,1.0,1.0,4640,951,0.007516,5534.846916998504,1,1,1,1,1,1,1,1,1,1
claude-haiku-4-5-20251001,anthropic,0.25,reason_first,7,904,2712,4096,1.0,1.0,4555,1010,0.007684,5521.203333999438,1,1,1,1,1,1,1,1,1,1
claude-haiku-4-5-20251001,anthropic,0.5,reason_first,6,1808,1808,4096,1.0,1.0,4581,1007,0.0076928000000000005,5802.171540999552,1,1,1,1,1,1,1,1,1,1
claude-haiku-4-5-20251001,anthropic,0.5,reason_first,7,1808,1808,4096,1.0,1.0,4581,948,0.0074568,5311.174832997494,1,1,1,1,1,1,1,1,1,1
claude-haiku-4-5-20251001,anthropic,0.25,reason_first,8,904,2712,4096,1.0,1.0,4555,1024,0.00774,5867.772707999393,1,1,1,1,1,1,1,1,1,1
claude-haiku-4-5-20251001,anthropic,0.9,reason_first,7,3254,362,4096,1.0,1.0,4640,945,0.007492,5240.197958002682,1,1,1,1,1,1,1,1,1,1
claude-haiku-4-5-20251001,anthropic,0.75,reason_first,7,2712,904,4096,1.0,1.0,4620,937,0.007444,5183.563791004417,1,1,1,1,1,1,1,1,1,1
claude-haiku-4-5-20251001,anthropic,0.0,reason_first,2,0,3616,4096,1.0,1.0,4517,917,0.0072816,4724.721457998385,1,1,1,1,1,1,1,1,1,1
claude-haiku-4-5-20251001,anthropic,0.25,coord_first,8,904,2712,4096,1.0,1.0,4555,887,0.007192,4741.88866699842,1,1,1,1,1,1,1,1,1,1
claude-haiku-4-5-20251001,anthropic,0.75,coord_first,7,2712,904,4096,1.0,1.0,4620,928,0.007408,5757.237958001497,1,1,1,1,1,1,1,1,1,1
claude-haiku-4-5-20251001,anthropic,0.0,coord_first,8,0,3616,4096,1.0,1.0,4517,978,0.0075256,4763.075082999421,1,1,1,1,1,1,1,1,1,1
claude-haiku-4-5-20251001,anthropic,0.25,coord_first,9,904,2712,4096,1.0,1.0,4555,920,0.007324,5071.983958005148,1,1,1,1,1,1,1,1,1,1
claude-haiku-4-5-20251001,anthropic,0.9,coord_first,8,3254,362,4096,1.0,1.0,4640,921,0.007396,6227.527125003689,1,1,1,1,1,1,1,1,1,1
claude-haiku-4-5-20251001,anthropic,0.25,reason_first,9,904,2712,4096,1.0,1.0,4555,914,0.0073,5011.393832995964,1,1,1,1,1,1,1,1,1,1
claude-haiku-4-5-20251001,anthropic,0.25,coord_first,10,904,2712,4096,1.0,1.0,4555,1001,0.007648,5647.541457998159,1,1,1,1,1,1,1,1,1,1
claude-haiku-4-5-20251001,anthropic,0.9,coord_first,9,3254,362,4096,1.0,1.0,4640,912,0.00736,4998.408500003279,1,1,1,1,1,1,1,1,1,1
claude-haiku-4-5-20251001,anthropic,0.5,reason_first,8,1808,1808,4096,1.0,1.0,4581,1000,0.0076648,5945.972292000079,1,1,1,1,1,1,1,1,1,1
claude-haiku-4-5-20251001,anthropic,0.9,coord_first,10,3254,362,4096,1.0,1.0,4640,923,0.007404,5411.013582997839,1,1,1,1,1,1,1,1,1,1
claude-haiku-4-5-20251001,anthropic,0.9,coord_first,11,3254,362,4096,1.0,1.0,4640,907,0.00734,4920.65545800142,1,1,1,1,1,1,1,1,1,1
claude-haiku-4-5-20251001,anthropic,0.0,coord_first,9,0,3616,4096,1.0,1.0,4517,898,0.0072056,5127.447958002449,1,1,1,1,1,1,1,1,1,1
claude-haiku-4-5-20251001,anthropic,0.0,coord_first,10,0,3616,4096,1.0,1.0,4517,876,0.0071176,4223.47937500308,1,1,1,1,1,1,1,1,1,1
claude-haiku-4-5-20251001,anthropic,0.5,reason_first,9,1808,1808,4096,1.0,1.0,4581,1024,0.0077608,6220.192250002583,1,1,1,1,1,1,1,1,1,1
claude-haiku-4-5-20251001,anthropic,0.75,reason_first,8,2712,904,4096,1.0,1.0,4620,1024,0.007792,5938.347082999826,1,1,1,1,1,1,1,1,1,1
claude-haiku-4-5-20251001,anthropic,0.75,reason_first,9,2712,904,4096,1.0,1.0,4620,1024,0.007792,5770.003249999718,1,1,1,1,1,1,1,1,1,1
claude-haiku-4-5-20251001,anthropic,0.9,reason_first,8,3254,362,4096,1.0,1.0,4640,1024,0.007808,6276.792041004228,1,1,1,1,1,1,1,1,1,1
claude-haiku-4-5-20251001,anthropic,0.75,coord_first,8,2712,904,4096,1.0,1.0,4620,996,0.00768,6073.001791002753,1,1,1,1,1,1,1,1,1,1
claude-haiku-4-5-20251001,anthropic,0.75,coord_first,9,2712,904,4096,1.0,1.0,4620,907,0.007324,5158.157459001814,1,1,1,1,1,1,1,1,1,1
claude-haiku-4-5-20251001,anthropic,0.25,coord_first,11,904,2712,4096,1.0,1.0,4555,929,0.00736,5140.246542003297,1,1,1,1,1,1,1,1,1,1
claude-haiku-4-5-20251001,anthropic,0.5,coord_first,6,1808,1808,4096,1.0,1.0,4581,827,0.0069728,4831.607416999759,1,1,1,1,1,1,1,1,1,1
claude-haiku-4-5-20251001,anthropic,0.25,reason_first,10,904,2712,4096,1.0,1.0,4555,961,0.007488,5174.400290998165,1,1,1,1,1,1,1,1,1,1
claude-haiku-4-5-20251001,anthropic,0.9,reason_first,9,3254,362,4096,1.0,1.0,4640,922,0.0074,5027.313582999341,1,1,1,1,1,1,1,1,1,1
claude-haiku-4-5-20251001,anthropic,0.75,reason_first,10,2712,904,4096,1.0,1.0,4620,930,0.007416,5122.048208999331,1,1,1,1,1,1,1,1,1,1
claude-haiku-4-5-20251001,anthropic,0.9,reason_first,10,3254,362,4096,1.0,1.0,4640,1024,0.007808,9142.6352089984,1,1,1,1,1,1,1,1,1,1
claude-haiku-4-5-20251001,anthropic,0.0,reason_first,3,0,3616,4096,1.0,1.0,4517,895,0.0071936000000000005,4376.53483300528,1,1,1,1,1,1,1,1,1,1
claude-haiku-4-5-20251001,anthropic,0.0,reason_first,4,0,3616,4096,1.0,1.0,4517,926,0.0073176000000000005,4688.931707998563,1,1,1,1,1,1,1,1,1,1
claude-haiku-4-5-20251001,anthropic,0.75,reason_first,11,2712,904,4096,1.0,1.0,4620,935,0.007436,5114.140165998833,1,1,1,1,1,1,1,1,1,1
claude-haiku-4-5-20251001,anthropic,0.9,reason_first,11,3254,362,4096,1.0,1.0,4640,1024,0.007808,6520.328165999672,1,1,1,1,1,1,1,1,1,1
claude-haiku-4-5-20251001,anthropic,0.5,reason_first,10,1808,1808,4096,1.0,1.0,4581,911,0.0073088,4947.560957996757,1,1,1,1,1,1,1,1,1,1
claude-haiku-4-5-20251001,anthropic,0.25,coord_first,12,904,2712,4096,1.0,1.0,4555,823,0.006936,4714.176375004172,1,1,1,1,1,1,1,1,1,1
claude-haiku-4-5-20251001,anthropic,0.25,coord_first,13,904,2712,4096,1.0,1.0,4555,976,0.007548,5485.419249998813,1,1,1,1,1,1,1,1,1,1
claude-haiku-4-5-20251001,anthropic,0.5,reason_first,11,1808,1808,4096,1.0,1.0,4581,967,0.0075328,5306.8973750050645,1,1,1,1,1,1,1,1,1,1
claude-haiku-4-5-20251001,anthropic,0.25,coord_first,14,904,2712,4096,1.0,1.0,4555,1007,0.007672,5680.133291993116,1,1,1,1,1,1,1,1,1,1
claude-haiku-4-5-20251001,anthropic,0.5,coord_first,7,1808,1808,4096,1.0,1.0,4581,917,0.0073328,5409.107374995074,1,1,1,1,1,1,1,1,1,1
claude-haiku-4-5-20251001,anthropic,0.9,coord_first,12,3254,362,4096,1.0,1.0,4640,942,0.00748,5477.23529200448,1,1,1,1,1,1,1,1,1,1
claude-haiku-4-5-20251001,anthropic,0.0,coord_first,11,0,3616,4096,1.0,1.0,4517,925,0.0073136,4613.390250000521,1,1,1,1,1,1,1,1,1,1
claude-haiku-4-5-20251001,anthropic,0.0,reason_first,5,0,3616,4096,1.0,1.0,4517,896,0.0071976,4830.430292000528,1,1,1,1,1,1,1,1,1,1
claude-haiku-4-5-20251001,anthropic,0.5,coord_first,8,1808,1808,4096,1.0,1.0,4581,900,0.0072648,5422.412291998626,1,1,1,1,1,1,1,1,1,1
claude-haiku-4-5-20251001,anthropic,0.75,coord_first,10,2712,904,4096,1.0,1.0,4620,914,0.007352,5128.100249996351,1,1,1,1,1,1,1,1,1,1
claude-haiku-4-5-20251001,anthropic,0.0,coord_first,12,0,3616,4096,1.0,1.0,4517,916,0.0072776,4748.80383299751,1,1,1,1,1,1,1,1,1,1
claude-haiku-4-5-20251001,anthropic,0.0,coord_first,13,0,3616,4096,1.0,1.0,4517,959,0.007449600000000001,4718.130207998911,1,1,1,1,1,1,1,1,1,1
claude-haiku-4-5-20251001,anthropic,0.9,coord_first,13,3254,362,4096,1.0,1.0,4640,887,0.00726,4891.310500002874,1,1,1,1,1,1,1,1,1,1
claude-haiku-4-5-20251001,anthropic,0.5,reason_first,12,1808,1808,4096,1.0,1.0,4581,930,0.0073848,5121.701042000495,1,1,1,1,1,1,1,1,1,1
claude-haiku-4-5-20251001,anthropic,0.0,reason_first,6,0,3616,4096,1.0,1.0,4517,837,0.0069616,4609.277042000031,1,1,1,1,1,1,1,1,1,1
claude-haiku-4-5-20251001,anthropic,0.5,reason_first,13,1808,1808,4096,1.0,1.0,4581,1024,0.0077608,5764.517291994707,1,1,1,1,1,1,1,1,1,1
claude-haiku-4-5-20251001,anthropic,0.5,coord_first,9,1808,1808,4096,1.0,1.0,4581,912,0.0073128,4899.506583002221,1,1,1,1,1,1,1,1,1,1
claude-haiku-4-5-20251001,anthropic,0.25,coord_first,15,904,2712,4096,1.0,1.0,4555,905,0.007264,4971.679125002993,1,1,1,1,1,1,1,1,1,1
claude-haiku-4-5-20251001,anthropic,0.0,coord_first,14,0,3616,4096,1.0,1.0,4517,869,0.007089600000000001,4787.161084001127,1,1,1,1,1,1,1,1,1,1
claude-haiku-4-5-20251001,anthropic,0.75,reason_first,12,2712,904,4096,1.0,1.0,4620,947,0.007484,5216.223167000862,1,1,1,1,1,1,1,1,1,1
claude-haiku-4-5-20251001,anthropic,0.5,coord_first,10,1808,1808,4096,1.0,1.0,4581,939,0.0074208,5582.022792004864,1,1,1,1,1,1,1,1,1,1
claude-haiku-4-5-20251001,anthropic,0.5,coord_first,11,1808,1808,4096,1.0,1.0,4581,903,0.0072768,4991.727125001489,1,1,1,1,1,1,1,1,1,1
claude-haiku-4-5-20251001,anthropic,0.25,reason_first,11,904,2712,4096,1.0,1.0,4555,1012,0.007692,6070.757875000709,1,1,1,1,1,1,1,1,1,1
claude-haiku-4-5-20251001,anthropic,0.0,reason_first,7,0,3616,4096,1.0,1.0,4517,923,0.007305600000000001,4553.599208004016,1,1,1,1,1,1,1,1,1,1
claude-haiku-4-5-20251001,anthropic,0.75,coord_first,11,2712,904,4096,1.0,1.0,4620,1010,0.007736,5710.278834005294,1,1,1,1,1,1,1,1,1,1
claude-haiku-4-5-20251001,anthropic,0.75,coord_first,12,2712,904,4096,1.0,1.0,4620,940,0.007456,5374.752582996734,1,1,1,1,1,1,1,1,1,1
claude-haiku-4-5-20251001,anthropic,0.5,coord_first,12,1808,1808,4096,1.0,1.0,4581,936,0.0074088,5524.246207998658,1,1,1,1,1,1,1,1,1,1
claude-haiku-4-5-20251001,anthropic,0.9,reason_first,12,3254,362,4096,1.0,1.0,4640,937,0.00746,5325.3098749992205,1,1,1,1,1,1,1,1,1,1
claude-haiku-4-5-20251001,anthropic,0.5,reason_first,14,1808,1808,4096,1.0,1.0,4581,927,0.0073728000000000005,4644.765167002333,1,1,1,1,1,1,1,1,1,1
claude-haiku-4-5-20251001,anthropic,0.25,reason_first,12,904,2712,4096,1.0,1.0,4555,940,0.007404,5201.960917001998,1,1,1,1,1,1,1,1,1,1
claude-haiku-4-5-20251001,anthropic,0.0,reason_first,8,0,3616,4096,1.0,1.0,4517,885,0.0071536,5044.573167004273,1,1,1,1,1,1,1,1,1,1
claude-haiku-4-5-20251001,anthropic,0.75,coord_first,13,2712,904,4096,1.0,1.0,4620,923,0.007388,5022.525791995577,1,1,1,1,1,1,1,1,1,1
claude-haiku-4-5-20251001,anthropic,0.0,reason_first,9,0,3616,4096,1.0,1.0,4517,715,0.0064736,3827.9806670034304,1,1,1,1,1,1,1,1,1,1
claude-haiku-4-5-20251001,anthropic,0.25,reason_first,13,904,2712,4096,1.0,1.0,4555,987,0.007592,5586.715959005232,1,1,1,1,1,1,1,1,1,1
claude-haiku-4-5-20251001,anthropic,0.75,reason_first,13,2712,904,4096,0.9,0.9,4620,1024,0.007792,4804.048124999099,1,1,1,1,1,1,1,1,1,0
claude-haiku-4-5-20251001,anthropic,0.75,coord_first,14,2712,904,4096,1.0,1.0,4620,969,0.007572,5281.659000000218,1,1,1,1,1,1,1,1,1,1
claude-haiku-4-5-20251001,anthropic,0.75,reason_first,14,2712,904,4096,1.0,1.0,4620,953,0.007508,5750.935249998292,1,1,1,1,1,1,1,1,1,1
claude-haiku-4-5-20251001,anthropic,0.25,coord_first,16,904,2712,4096,1.0,1.0,4555,939,0.0074,7533.633874998486,1,1,1,1,1,1,1,1,1,1
claude-haiku-4-5-20251001,anthropic,0.9,coord_first,14,3254,362,4096,1.0,1.0,4640,895,0.007292,5016.948750002484,1,1,1,1,1,1,1,1,1,1
claude-haiku-4-5-20251001,anthropic,0.0,reason_first,10,0,3616,4096,1.0,1.0,4517,895,0.0071936000000000005,4609.794333002355,1,1,1,1,1,1,1,1,1,1
claude-haiku-4-5-20251001,anthropic,0.0,reason_first,11,0,3616,4096,1.0,1.0,4517,961,0.0074576,4789.719334003166,1,1,1,1,1,1,1,1,1,1
claude-haiku-4-5-20251001,anthropic,0.5,reason_first,15,1808,1808,4096,1.0,1.0,4581,927,0.0073728000000000005,5324.807749995671,1,1,1,1,1,1,1,1,1,1
claude-haiku-4-5-20251001,anthropic,0.75,reason_first,15,2712,904,4096,1.0,1.0,4620,945,0.007476,5621.827916002076,1,1,1,1,1,1,1,1,1,1
claude-haiku-4-5-20251001,anthropic,0.0,reason_first,12,0,3616,4096,1.0,1.0,4517,930,0.0073336,4787.181917003181,1,1,1,1,1,1,1,1,1,1
claude-haiku-4-5-20251001,anthropic,0.9,coord_first,15,3254,362,4096,1.0,1.0,4640,906,0.007336,5221.284416998969,1,1,1,1,1,1,1,1,1,1
claude-haiku-4-5-20251001,anthropic,0.0,coord_first,15,0,3616,4096,1.0,1.0,4517,924,0.0073096,4542.606957998942,1,1,1,1,1,1,1,1,1,1
claude-haiku-4-5-20251001,anthropic,0.25,reason_first,14,904,2712,4096,1.0,1.0,4555,892,0.007212,5025.734916998772,1,1,1,1,1,1,1,1,1,1
claude-haiku-4-5-20251001,anthropic,0.25,reason_first,15,904,2712,4096,1.0,1.0,4555,1024,0.00774,5974.097333004465,1,1,1,1,1,1,1,1,1,1
claude-haiku-4-5-20251001,anthropic,0.9,reason_first,13,3254,362,4096,1.0,1.0,4640,1022,0.0078,5764.975915997638,1,1,1,1,1,1,1,1,1,1
claude-haiku-4-5-20251001,anthropic,0.5,coord_first,13,1808,1808,4096,1.0,1.0,4581,888,0.0072168,4698.141166998539,1,1,1,1,1,1,1,1,1,1
claude-haiku-4-5-20251001,anthropic,0.0,reason_first,13,0,3616,4096,1.0,1.0,4517,909,0.0072496,5815.118167003675,1,1,1,1,1,1,1,1,1,1
claude-haiku-4-5-20251001,anthropic,0.25,coord_first,17,904,2712,4096,1.0,1.0,4555,910,0.007284,4944.183625004371,1,1,1,1,1,1,1,1,1,1
claude-haiku-4-5-20251001,anthropic,0.9,reason_first,14,3254,362,4096,1.0,1.0,4640,933,0.007444,5024.120292000589,1,1,1,1,1,1,1,1,1,1
claude-haiku-4-5-20251001,anthropic,0.25,reason_first,16,904,2712,4096,1.0,1.0,4555,934,0.00738,4757.449083997926,1,1,1,1,1,1,1,1,1,1
claude-haiku-4-5-20251001,anthropic,0.75,coord_first,15,2712,904,4096,1.0,1.0,4620,945,0.007476,5240.777332997823,1,1,1,1,1,1,1,1,1,1
claude-haiku-4-5-20251001,anthropic,0.75,reason_first,16,2712,904,4096,1.0,1.0,4620,929,0.007412,5012.368832998618,1,1,1,1,1,1,1,1,1,1
