proportion,order,trial_index,orig_crdt_throughput,orig_mls_rfc,orig_three_encryption_options,orig_recommends_option_b,orig_pg_limit,orig_redis_pubsub_rate,orig_redis_streams_latency,orig_prosemirror_richtext,orig_backend_rampup,orig_infra_migration_weeks,new_crdt_throughput,new_mls_rfc,new_three_encryption_options,new_recommends_option_b,new_pg_limit,new_redis_pubsub_rate,new_redis_streams_latency,new_prosemirror_richtext,new_backend_rampup,new_infra_migration_weeks
0.0,coord_first,4,0,0,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1
0.0,coord_first,5,0,0,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1
0.25,reason_first,6,0,0,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,0
0.75,coord_first,0,0,0,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1
0.0,coord_first,6,0,0,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1
0.9,reason_first,3,0,0,1,1,1,1,1,1,0,1,0,0,1,1,1,1,1,1,0,1
0.75,reason_first,3,0,0,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1
0.5,reason_first,3,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1
0.9,reason_first,4,0,0,1,1,1,1,1,1,0,1,0,0,1,1,1,1,1,1,0,0
0.5,reason_first,4,0,0,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,0
0.9,reason_first,5,0,0,1,1,1,1,1,1,0,1,0,0,1,1,1,1,1,1,0,1
0.25,coord_first,4,0,0,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1
0.75,coord_first,1,0,0,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1
0.0,reason_first,2,0,0,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1
0.0,coord_first,7,0,0,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1
0.75,coord_first,2,0,0,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,0
0.75,coord_first,3,0,0,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1
0.5,reason_first,5,0,0,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,0
0.9,reason_first,6,0,0,1,1,1,1,1,1,0,1,0,0,1,1,1,1,1,1,0,0
0.5,reason_first,6,0,0,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1
0.5,coord_first,5,0,0,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1
0.0,reason_first,3,0,0,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1
0.9,coord_first,4,0,0,1,1,1,1,1,1,0,1,0,0,1,1,1,1,1,1,0,1
0.75,coord_first,4,0,0,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1
0.0,coord_first,8,0,0,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1
0.9,reason_first,7,0,0,1,1,1,1,1,0,0,1,0,0,1,1,1,1,1,0,0,0
0.75,coord_first,5,0,0,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1
0.25,coord_first,5,0,0,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,0
0.75,reason_first,4,0,0,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1
0.75,coord_first,6,0,0,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1
0.9,reason_first,8,0,1,1,1,1,1,1,1,0,1,0,0,1,1,1,1,1,1,0,1
0.9,coord_first,5,0,0,1,1,1,1,1,0,0,1,0,0,1,1,1,1,1,0,0,1
0.75,reason_first,5,0,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1
0.9,coord_first,6,0,0,1,1,1,1,1,1,0,1,0,0,1,1,1,1,1,1,0,1
0.9,coord_first,7,0,0,1,1,1,1,1,1,0,1,0,0,1,1,1,1,1,1,0,1
0.75,coord_first,7,0,0,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,0
0.0,coord_first,9,0,0,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1
0.9,reason_first,9,0,0,1,1,1,1,1,1,0,1,0,0,1,1,1,1,1,1,0,1
0.75,reason_first,6,0,0,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,0
0.75,coord_first,8,0,0,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1
0.25,reason_first,7,0,0,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1
0.25,reason_first,8,0,0,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,0
0.5,coord_first,6,0,0,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1
0.75,coord_first,9,0,0,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,0
0.25,coord_first,6,0,0,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1
0.5,coord_first,7,0,0,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1
0.0,coord_first,10,0,0,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1
0.75,coord_first,10,0,0,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1
0.5,coord_first,8,0,0,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1
0.5,reason_first,7,0,0,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,0
0.25,reason_first,9,0,0,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,0
0.9,reason_first,10,0,0,1,1,1,1,1,1,0,1,0,0,1,1,1,1,1,1,0,0
0.5,reason_first,8,0,0,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,0
0.75,reason_first,7,0,0,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1
0.5,reason_first,9,0,0,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,0
0.9,reason_first,11,0,0,1,1,1,1,1,1,0,1,0,0,1,1,1,1,1,1,0,0
0.75,coord_first,11,0,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,0
0.9,coord_first,8,0,0,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1,1,0,0
0.5,reason_first,10,0,0,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1
0.0,reason_first,4,0,0,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1
0.0,coord_first,11,0,0,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1
0.9,reason_first,12,0,1,1,1,1,1,1,1,0,1,0,0,1,1,1,1,1,1,0,1
0.0,reason_first,5,0,0,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1
0.9,reason_first,13,1,0,1,1,1,1,1,1,0,1,0,0,1,1,1,1,1,1,0,0
0.9,coord_first,9,0,0,1,1,1,1,1,1,0,1,0,0,1,1,1,1,1,1,0,1
0.25,reason_first,10,0,0,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,0
0.5,coord_first,9,0,0,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1
0.5,reason_first,11,0,0,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,0
0.75,coord_first,12,0,0,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1
0.0,reason_first,6,0,0,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1
0.9,reason_first,14,0,0,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1,1,0,0
0.75,reason_first,8,0,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,0
0.9,reason_first,15,0,0,1,1,1,1,1,1,0,1,0,0,1,1,1,1,1,1,0,1
0.75,reason_first,9,0,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,0
0.0,coord_first,12,0,0,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1
0.5,reason_first,12,0,0,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1
0.25,reason_first,11,0,0,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,0
0.75,reason_first,10,0,0,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1
0.75,reason_first,11,0,0,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1
0.9,reason_first,16,0,0,1,1,1,1,1,1,0,1,0,0,1,1,1,1,1,1,0,0
0.9,coord_first,10,0,0,1,1,0,1,1,1,0,1,0,0,1,1,1,1,1,1,0,1
0.5,coord_first,10,0,0,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1
0.5,reason_first,13,0,0,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1
0.0,reason_first,7,0,0,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1
0.0,reason_first,8,0,0,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1
0.0,coord_first,13,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1
0.75,coord_first,13,0,0,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,0
0.75,coord_first,14,0,0,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1
0.5,coord_first,11,0,0,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1
0.75,coord_first,15,0,0,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,0
0.0,reason_first,9,0,0,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1
0.5,coord_first,12,0,0,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1
0.0,reason_first,10,0,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1
0.75,reason_first,12,0,0,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1
0.0,reason_first,11,0,0,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1
0.0,coord_first,14,0,0,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1
0.5,reason_first,14,0,0,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,0
0.75,reason_first,13,0,0,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1
0.75,coord_first,16,0,0,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,0
0.0,reason_first,12,1,0,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1
0.9,reason_first,17,0,0,1,1,1,1,1,1,0,1,0,0,1,1,1,1,1,1,0,0
0.75,reason_first,14,0,0,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,0
0.0,coord_first,15,0,0,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1
0.5,reason_first,15,0,0,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,0
0.75,reason_first,15,0,0,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,0
0.9,coord_first,11,0,0,1,1,1,1,1,1,0,1,0,0,1,1,1,1,1,1,0,1
0.25,reason_first,12,0,0,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1
0.9,coord_first,12,0,0,1,1,1,1,1,1,0,1,0,0,1,1,1,1,1,1,0,0
0.25,coord_first,7,1,0,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1
0.75,reason_first,16,0,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,0
0.0,reason_first,13,0,0,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1
0.9,reason_first,18,0,0,1,1,1,1,1,1,0,1,0,0,1,1,1,1,1,1,0,1
0.25,coord_first,8,0,0,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1
0.5,coord_first,13,0,0,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1
0.25,coord_first,9,0,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1
0.0,reason_first,14,0,0,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1
0.9,coord_first,13,0,0,1,1,1,1,1,1,0,1,0,0,1,1,1,1,1,1,0,1
0.25,coord_first,10,0,0,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1
0.5,coord_first,14,0,0,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1
0.75,reason_first,17,0,0,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,0
0.0,coord_first,16,0,0,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1
0.5,reason_first,16,0,0,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,0
0.5,coord_first,15,0,0,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1
0.0,reason_first,15,0,0,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1
0.25,reason_first,13,0,0,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1
0.25,reason_first,14,0,0,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,0
0.25,coord_first,11,0,0,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1
0.25,reason_first,15,0,0,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1
0.9,coord_first,14,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,0,0
0.0,coord_first,17,0,0,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1
0.0,reason_first,16,0,0,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1
0.5,reason_first,17,0,0,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,0
0.25,reason_first,16,0,0,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1
0.25,coord_first,12,0,0,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1
0.9,coord_first,15,0,0,1,1,1,1,1,1,0,1,0,0,1,1,1,1,1,1,0,1
0.25,reason_first,17,0,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1
0.25,coord_first,13,0,0,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1
0.25,coord_first,14,0,0,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1
0.5,reason_first,18,1,0,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1
0.25,reason_first,18,0,0,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,0
0.25,coord_first,15,0,0,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1
0.0,reason_first,17,0,0,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1
0.75,coord_first,17,0,0,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,0
0.75,coord_first,18,0,0,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1
0.9,coord_first,16,1,0,1,1,1,1,1,1,0,1,0,0,1,1,1,1,1,1,0,1
0.25,coord_first,16,0,0,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1
0.0,reason_first,18,0,0,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1
0.5,coord_first,16,0,0,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1
0.9,coord_first,17,0,0,1,1,1,1,1,0,0,1,0,0,1,1,1,1,1,0,0,0
0.0,reason_first,19,0,0,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1
0.75,reason_first,18,0,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,0
0.9,coord_first,18,0,0,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1,1,0,1
0.25,reason_first,19,0,0,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,0
0.75,reason_first,19,0,0,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,0
0.9,reason_first,19,0,0,1,1,1,1,1,1,0,1,0,0,1,1,1,1,1,1,0,0
0.25,coord_first,17,0,0,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1
0.75,coord_first,19,0,0,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1
0.9,coord_first,19,0,0,1,1,1,1,1,1,0,1,0,0,1,1,1,1,1,1,0,1
0.5,coord_first,17,0,0,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1
0.5,reason_first,19,0,0,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1
0.5,coord_first,18,0,0,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1
0.0,coord_first,18,0,0,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1
0.0,coord_first,19,0,0,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1
0.5,coord_first,19,0,0,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,0
0.25,coord_first,18,0,0,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1
0.25,coord_first,19,0,0,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1
